,plant_pos,plant_id,root_mass,shoot_mass,date,total_nodules,weight_entry,weight_class,subtract_nodule,mean_weight
0,22,131_1,0.0321,0.0947,2019-06-17,36,0.0652,RNA,,0.001811111
1,20,131_10,0.0201,0.0714,2019-05-31,39,0.0303,Quant,3,0.000841667
2,323,131_2,0.0048,0.0287,2019-05-15,12,0.0147,Regular,,0.00147
3,24,131_3,0.0089,0.0239,2019-06-01,30,0.0225,Regular,,0.00225
4,89,131_4,0.0356,0.106,2019-05-29,62,0.0754,Quant,4,0.0013
5,78,131_5,,,2019-06-18,30,0.0446,RNA,,0.001486667
6,317,131_6,0.0702,0.2343,2019-06-18,45,0.1526,Quant,2,0.003548837
7,270,131_7,0.035,0.0727,2019-06-18,28,0.0729,RNA,,0.002603571
8,207,131_8,0.0209,0.074,2019-05-30,34,0.0164,Regular,,0.00164
9,243,131_9,0.0317,0.1723,2019-06-17,31,0.1443,RNA,,0.004654839
10,28,131+156_1,0.0027,0.0052,2019-05-09,5,0.0092,Regular,,0.00184
11,285,131+156_10,0.0157,0.048,2019-05-31,40,0.0097,Regular,,0.00097
12,69,131+156_2,0.0186,0.0813,2019-06-05,27,,Regular,,
13,211,131+156_3,0.0041,0.019,2019-05-06,16,0.0057,Regular,,0.00057
14,31,131+156_4,0.0027,0.0052,2019-05-09,8,0.0053,Regular,,0.0006625
15,316,131+156_5,0.0068,0.028,2019-05-15,18,0.0103,Regular,,0.00103
16,232,131+156_6,0.0033,0.0092,2019-05-10,11,0.008,Regular,,0.0008
17,310,131+156_7,0.0163,0.0654,2019-06-04,26,0.0144,Regular,,0.00144
18,157,131+156_8,0.0248,0.0967,2019-06-04,50,0.0057,Regular,,0.00057
19,241,131+156_9,0.0041,0.0066,2019-05-10,18,0.0043,Regular,,0.00043
20,328,131+184_1,0.0043,0.0055,2019-05-15,0,0,Regular,,0
21,84,131+184_10,0.0044,0.0202,2019-05-21,8,0.0086,Regular,,0.001075
23,281B,131+184_2,0.001,0.0044,2019-05-21,0,0,Regular,,0
22,281A,131+184_2,0.0023,0.0028,2019-05-21,0,0,Regular,,0
24,200,131+184_3,0.0012,0.0012,2019-05-20,0,0,Regular,,0
25,282,131+184_4,0.0023,0.0061,2019-05-28,3,0.0002,Regular,,6.67E-05
26,91,131+184_5,0.0076,0.025,2019-05-28,5,0.0346,Regular,,0.00692
27,169,131+184_6,0.0038,0.0096,2019-05-13,13,0.0042,Regular,,0.00042
28,308,131+184_7,0.0054,0.016,2019-06-04,10,0.0218,Regular,,0.00218
29,37,131+184_8,0.006,0.0128,2019-05-31,8,0.0125,Regular,,0.0015625
30,277,131+184_9,0.0022,0.0081,2019-05-28,5,0.0077,Regular,,0.00154
31,149,131+187_1,0.0234,0.0771,2019-06-03,32,0.0373,Regular,,0.00373
32,252,131+187_10,0.0012,0.004,2019-05-09,6,0.0031,Regular,,0.000516667
33,82,131+187_2,0.0309,0.1133,2019-05-29,48,0.0265,Regular,,0.00265
34,175,131+187_3,0.0248,0.0644,2019-06-05,39,0.0183,Regular,,0.00183
35,329,131+187_4,0.0133,0.035,2019-05-15,26,0.0157,Regular,,0.00157
36,121,131+187_5,0.0249,0.0535,2019-06-14,31,0.0156,Regular,,0.00156
38,195B,131+187_6,0.0011,0.0048,2019-05-14,5,0.0025,Regular,,0.0005
37,195A,131+187_6,0.0027,0.008,2019-05-14,11,0.0147,Regular,,0.00147
39,180,131+187_7,0.0043,0.0139,2019-05-13,5,0.0153,Regular,,0.00306
40,224,131+187_8,0.0127,0.0486,2019-05-30,35,0.0071,Regular,,0.00071
41,344,131+187_9,0.0034,0.0146,2019-05-14,11,0.016,Regular,,0.0016
42,64,131+200_1,0.0474,0.1546,2019-06-11,46,0.0688,Quant,4,0.001638095
43,49,131+200_10,0.0014,0.0045,2019-05-09,4,0.0001,Regular,,2.50E-05
44,326,131+200_2,0.0068,0.0209,2019-05-15,18,0.0074,Regular,,0.00074
45,202,131+200_3,0.0015,0.009,2019-05-06,16,0.0046,Regular,,0.00046
46,322,131+200_4,0.0088,0.0287,2019-05-15,28,0.0084,Regular,,0.00084
47,364,131+200_5,0.0351,0.1678,2019-06-11,31,0.1004,Quant,4,0.003718519
48,347,131+200_6,0.0016,0.0033,2019-05-14,6,0.0043,Regular,,0.000716667
49,60,131+200_7,0.0021,0.0023,2019-05-10,5,0.0012,Regular,,0.00024
50,271,131+200_8,0.0007,0.0017,2019-05-09,1,,Regular,,
51,74,131+200_9,0.0094,0.0238,2019-06-13,14,0.0303,Regular,,0.00303
52,188,156_1,0.0104,0.0147,2019-06-19,33,0.0251,Quant,3,0.000836667
53,59,156_10,0.0076,0.0244,2019-05-29,13,0.0243,Quant,3,0.00243
54,203,156_2,,,2019-05-07,13,0.0028,Regular,,0.00028
55,122,156_3,0.021,0.0353,2019-06-19,41,0.0105,Regular,,0.00105
56,103,156_4,0.0063,0.0148,2019-06-19,22,0.0117,Regular,,0.00117
57,138,156_5,0.0074,0.0218,2019-05-30,25,0.0208,Quant,3,0.000945455
58,112,156_6,0.0163,0.0257,2019-06-17,56,0.0661,RNA,,0.001180357
59,244,156_7,0.0043,0.0101,2019-05-30,14,0.0095,Quant,3,0.000863636
60,314,156_8,0.0189,0.0415,2019-06-17,41,0.0807,RNA,,0.001968293
