Nodules	Area	Mean	Min	Max
131+156_1.xls:1	0.044	124.046	71	225
131+156_1.xls:2	0.02	100.197	61	167
131+156_1.xls:3	0.044	65.37	27	136
131+156_1.xls:4	0.023	76.508	35	133
131+156_1.xls:5	0.029	74.671	44	118
131+156_10.xls:1	0.013	83.625	62	124
131+156_10.xls:2	0.007	114.559	100	135
131+156_10.xls:3	0.018	87.165	69	138
131+156_10.xls:4	0.039	89.458	68	137
131+156_10.xls:5	0.006	120.175	110	134
131+156_10.xls:6	0.008	109.757	95	126
131+156_10.xls:7	0.009	105.983	92	128
131+156_10.xls:8	0.007	125.644	113	140
131+156_10.xls:9	0.01	75.808	59	105
131+156_10.xls:10	0.003	108.278	93	129
131+156_10.xls:11	0.026	90.041	49	134
131+156_10.xls:12	0.012	90.399	70	121
131+156_10.xls:13	0.01	103.619	83	127
131+156_10.xls:14	0.005	121.931	109	132
131+156_10.xls:15	0.016	100.133	82	133
131+156_10.xls:16	0.008	125.899	109	138
131+156_10.xls:17	0.023	83.85	55	129
131+156_10.xls:18	0.009	114.008	98	133
131+156_10.xls:19	0.007	110.04	72	139
131+156_10.xls:20	0.014	105.935	98	122
131+156_10.xls:21	0.028	95.755	79	129
131+156_10.xls:22	0.03	83.836	53	115
131+156_10.xls:23	0.041	81.688	58	124
131+156_10.xls:24	0.022	91.56	76	124
131+156_10.xls:25	0.015	95.821	83	115
131+156_10.xls:26	0.013	103.475	84	137
131+156_10.xls:27	0.012	103.433	90	127
131+156_10.xls:28	0.006	114.188	98	141
131+156_10.xls:29	0.018	99.601	81	129
131+156_10.xls:30	0.035	98.016	67	144
131+156_10.xls:31	0.008	111	98	128
131+156_10.xls:32	0.016	106.529	79	135
131+156_10.xls:33	0.024	93.799	80	127
131+156_10.xls:34	0.01	111.145	98	132
131+156_10.xls:35	0.004	114.015	99	134
131+156_10.xls:36	0.006	114.406	97	131
131+156_10.xls:37	0.017	91.984	71	128
131+156_10.xls:38	0.01	92.384	76	137
131+156_10.xls:39	0.017	88.939	66	130
131+156_10.xls:40	0.016	86.628	56	132
131+156_2.xls:1	0.084	91.5	58	129
131+156_2.xls:2	0.025	80.123	56	136
131+156_2.xls:3	0.039	79.063	60	139
131+156_2.xls:4	0.047	72.549	38	129
131+156_2.xls:5	0.043	75.577	46	127
131+156_2.xls:6	0.064	73.86	52	125
131+156_2.xls:7	0.037	74.527	50	111
131+156_2.xls:8	0.026	74.183	52	121
131+156_2.xls:9	0.024	104.343	85	152
131+156_2.xls:10	0.045	81.554	53	148
131+156_2.xls:11	0.059	62.77	38	124
131+156_2.xls:12	0.027	85.779	62	131
131+156_2.xls:13	0.022	71.241	51	103
131+156_2.xls:14	0.025	90.413	65	125
131+156_2.xls:15	0.071	60.104	29	127
131+156_2.xls:16	0.027	62.163	43	103
131+156_2.xls:17	0.028	89.921	60	140
131+156_2.xls:18	0.029	63.624	43	139
131+156_2.xls:19	0.016	80.258	58	121
131+156_2.xls:20	0.05	71.305	42	123
131+156_2.xls:21	0.064	72.208	38	129
131+156_2.xls:22	0.014	73.394	45	132
131+156_2.xls:23	0.012	85.847	60	129
131+156_2.xls:24	0.027	58.283	32	128
131+156_2.xls:25	0.008	121.363	96	160
131+156_2.xls:26	0.031	80.047	56	141
131+156_2.xls:27	0.02	80.343	50	138
131+156_3.xls:1	0.007	105.92	79	140
131+156_3.xls:2	0.01	82.282	49	131
131+156_3.xls:3	0.018	93.287	62	140
131+156_3.xls:4	0.019	96.501	71	135
131+156_3.xls:5	0.011	100.836	76	140
131+156_3.xls:6	0.019	91.113	57	138
131+156_3.xls:7	0.01	94.567	69	133
131+156_3.xls:8	0.005	128.874	107	155
131+156_3.xls:9	0.013	86.599	58	140
131+156_3.xls:10	0.005	106.083	86	142
131+156_3.xls:11	0.011	91.867	55	141
131+156_3.xls:12	0.007	97.227	73	141
131+156_3.xls:13	0.006	125.986	97	145
