plant_id,treatment,plant_pos,root_mass,shoot_mass,date,total_nodules,mean_weight,replicate,batch,elapsed_dpi,RG,ShootRG,SEff,investment,Fix,T3SS,Abundance,Co_effectivity,Single_effectivity,AreaMM,dryMass
131_1,131,22,32.1,94.7,2019-06-17,36,1.811111,1,1,73,8.174053182917,7.94963273871983,111.2875,0.514195552050473,+,+,+,Effective,,102.9,12.6944823632372
131_10,131,20,20.1,71.4,2019-05-31,39,0.841667,10,2,50,5.89846897663175,5.99370409233998,75.9875,0.35874331147541,+,+,+,Effective,,61.4,5.18431740020167
131_2,131,323,4.8,28.7,2019-05-15,12,1.47,2,1,40,2.15954875100725,2.40923399790136,17.9875,0.526567164179105,+,+,+,Effective,,24.3,2.42181581673315
131_3,131,24,8.9,23.9,2019-06-01,30,2.25,3,1,57,2.11442385173247,2.00629590766002,17.2875,2.05792682926829,+,+,+,Effective,,50.6,4.21771606292179
131_4,131,89,35.6,106,2019-05-29,62,1.3,4,1,54,9.12812248186946,8.89821615949633,126.0875,0.569209039548023,+,+,+,Effective,,105.4,8.8662132698643
131_5,131,78,NA,NA,2019-06-18,30,1.486667,5,1,74,NA,NA,NA,NA,+,+,+,Effective,,79.2,9.39339601335108
131_6,131,317,70.2,234.3,2019-06-18,45,3.548837,6,2,68,19.6293311845286,19.6684155299056,288.9875,0.524458669950739,+,+,+,Effective,,155.9,20.8040005291499
131_7,131,270,35,72.7,2019-06-18,28,2.603571,7,2,68,6.94278807413376,6.10283315844701,92.1875,0.676880111420613,+,+,+,Effective,,106,14.5726176128027
131_8,131,207,20.9,74,2019-05-30,34,1.64,8,2,49,6.11764705882353,6.21196222455404,79.3875,0.587565858798735,+,+,+,Effective,,61.2,5.47740757791932
131_9,131,243,31.7,172.3,2019-06-17,31,4.654839,9,2,67,13.1506849315068,14.4637985309549,188.4875,0.707352985294118,+,+,+,Effective,,151.9,22.3851154140435
131+156_1,131+156,28,2.7,5.2,2019-05-09,5,1.84,1,1,34,0.509266720386785,0.436516264428122,-7.6125,1.16455696202532,+/+,++,++,Effective,Effective-Effective,16,2.07227592744203
131+156_10,131+156,285,15.7,48,2019-05-31,40,0.97,10,2,50,4.10636583400483,4.02938090241343,48.1875,0.609105180533752,+/+,++,++,Effective,Effective-Effective,59.8,4.23620138389719
131+156_2,131+156,69,18.6,81.3,2019-06-05,27,NA,2,1,61,6.43996776792909,6.82476390346275,84.3875,NA,+/+,++,++,Effective,Effective-Effective,96.4,12.9999683125329
131+156_3,131+156,211,4.1,19,2019-05-06,16,0.57,3,1,31,1.48912167606769,1.59496327387198,7.5875,0.394805194805195,+/+,++,++,Effective,Effective-Effective,16.1,0.279312119560378
131+156_4,131+156,31,2.7,5.2,2019-05-09,8,0.6625,4,1,34,0.509266720386785,0.436516264428122,-7.6125,0.670886075949367,+/+,++,++,Effective,Effective-Effective,12.2,0.89067255608374
131+156_5,131+156,316,6.8,28,2019-05-15,18,1.03,5,1,40,2.2433521353747,2.3504721930745,19.2875,0.532758620689655,+/+,++,++,Effective,Effective-Effective,45.1,5.19809545835894
131+156_6,131+156,232,3.3,9.2,2019-05-10,11,0.8,6,2,29,0.8058017727639,0.772298006295908,-3.0125,0.704,+/+,++,++,Effective,Effective-Effective,16.1,1.10252147907179
131+156_7,131+156,310,16.3,65.4,2019-06-04,26,1.44,7,2,54,5.26672038678485,5.4900314795383,66.1875,0.458261933904529,+/+,++,++,Effective,Effective-Effective,49.8,4.73150928618325
131+156_8,131+156,157,24.8,96.7,2019-06-04,50,0.57,8,2,54,7.83239323126511,8.11752360965373,105.9875,0.234567901234568,+/+,++,++,Effective,Effective-Effective,86.6,7.43972052052139
131+156_9,131+156,241,4.1,6.6,2019-05-10,18,0.43,9,2,29,0.689766317485898,0.554039874081847,-4.8125,0.723364485981308,+/+,++,++,Effective,Effective-Effective,20.3,0.710093263581093
131+184_1,131+184,328,4.3,5.5,2019-05-15,0,0,1,1,40,0.631748589846898,0.461699895068206,-5.7125,0,+/+,++,++,Ineffective,Effective-Effective,NA,NA
131+184_10,131+184,84,4.4,20.2,2019-05-21,8,1.075,10,2,40,1.58581788879936,1.69569779643232,9.0875,0.349593495934959,+/+,++,++,Ineffective,Effective-Effective,14.7,1.34309213217022
