"plant_id","strain_A","strain_B","RG","total_nodules","Fix"
"131+156_1","131","156",0.509266720386785,5,"+-"
"131+156_10","131","156",4.10636583400483,40,"+-"
"131+156_2","131","156",6.43996776792909,27,"+-"
"131+156_3","131","156",1.48912167606769,16,"+-"
"131+156_4","131","156",0.509266720386785,8,"+-"
"131+156_5","131","156",2.2433521353747,18,"+-"
"131+156_6","131","156",0.8058017727639,11,"+-"
"131+156_7","131","156",5.26672038678485,26,"+-"
"131+156_8","131","156",7.83239323126511,50,"+-"
"131+156_9","131","156",0.689766317485898,18,"+-"
"131+184_1","131","184",0.631748589846898,0,"++"
"131+184_10","131","184",1.58581788879936,8,"++"
"131+184_2","131","184",0.348106365834005,0,"++"
"131+184_2","131","184",0.328767123287671,0,"++"
"131+184_3","131","184",0.154713940370669,0,"++"
"131+184_4","131","184",0.541498791297341,3,"++"
"131+184_5","131","184",2.10153102336825,5,"++"
"131+184_6","131","184",0.863819500402901,13,"++"
"131+184_7","131","184",1.3795326349718,10,"++"
"131+184_8","131","184",1.21192586623691,8,"++"
"131+184_9","131","184",0.663980660757454,5,"++"
"131+187_1","131","187",6.47864625302176,32,"+-"
"131+187_10","131","187",0.335213537469782,6,"+-"
"131+187_2","131","187",9.29572925060435,48,"+-"
"131+187_3","131","187",5.75020145044319,39,"+-"
"131+187_4","131","187",3.11361804995971,26,"+-"
"131+187_5","131","187",5.05398871877518,31,"+-"
"131+187_6","131","187",0.689766317485898,11,"+-"
"131+187_6","131","187",0.380338436744561,5,"+-"
"131+187_7","131","187",1.17324738114424,5,"+-"
"131+187_8","131","187",3.95165189363417,35,"+-"
"131+187_9","131","187",1.16035455278002,11,"+-"
"131+200_1","131","200",13.0217566478646,46,"+-"
"131+200_10","131","200",0.380338436744561,4,"+-"
"131+200_2","131","200",1.7856567284448,18,"+-"
"131+200_3","131","200",0.676873489121676,16,"+-"
"131+200_4","131","200",2.4174053182917,28,"+-"
"131+200_5","131","200",13.0797743755036,31,"+-"
"131+200_6","131","200",0.315874294923449,6,"+-"
"131+200_7","131","200",0.283642224012893,5,"+-"
"131+200_8","131","200",0.154713940370669,1,"+-"
"131+200_9","131","200",2.14020950846092,14,"+-"
"156+184_1","156","184",6.45930701047542,7,"+-"
"156+184_10","156","184",1.83722804190169,34,"+-"
"156+184_2","156","184",1.18614020950846,10,"+-"
