"plant_id","treatment","plant_pos","root_mass","shoot_mass","date","total_nodules","mean_weight","replicate","batch","elapsed_dpi","RG","SEff","Fix","T3SS","Abundance","Single_effectivity","AreaMM","dryMass"
"156_1","156","188",10.4,14.7,"2019-06-19",33,0.836667,1,"1",75,1.61804995970991,9.5875,"-","+","+","Effective",NA,NA
"156_10","156","59",7.6,24.4,"2019-05-29",13,2.43,10,"2",48,2.06285253827558,16.4875,"-","+","+","Effective",28.4,2.99914204961269
"156_2","156","203",NA,NA,"2019-05-07",13,0.28,2,"1",32,NA,NA,"-","+","+","Effective",7.7,-0.58225016848105
"156_3","156","122",21,35.3,"2019-06-19",41,1.05,3,"1",75,3.62933118452861,40.7875,"-","+","+","Effective",83.5,8.36049709329471
"156_4","156","103",6.3,14.8,"2019-06-19",22,1.17,4,"1",75,1.36019339242546,5.5875,"-","+","+","Effective",37.1,3.09178532727308
"156_5","156","138",7.4,21.8,"2019-05-30",25,0.945455,5,"2",49,1.88235294117647,13.6875,"-","+","+","Effective",48.2,4.60660262939019
"156_6","156","112",16.3,25.7,"2019-06-17",56,1.180357,6,"2",67,2.7074939564867,26.4875,"-","+","+","Effective",96.4,8.22535402736668
"156_7","156","244",4.3,10.1,"2019-05-30",14,0.863636,7,"2",49,0.928283642224013,-1.1125,"-","+","+","Effective",18.6,1.55494105515827
"156_8","156","314",18.9,41.5,"2019-06-17",41,1.968293,8,"2",67,3.89363416599516,44.8875,"-","+","+","Effective",107.9,12.7761121558987
"156_9","156","107",12,19.3,"2019-06-19",25,2.13,9,"2",69,2.01772763900081,15.7875,"-","+","+","Effective",48.2,4.60660262939019
"186_1","186","283",4,12.1,"2019-06-01",16,0.661538,1,"1",57,1.0378726833199,0.5875,"-","+","-","Ineffective",22.2,1.54785775711366
"186_10","186","212",4.2,10.4,"2019-06-01",19,0.775,10,"2",51,0.941176470588235,-0.9125,"-","+","-","Ineffective",26.3,1.96054211809092
"186_2","186","19",3.6,11.7,"2019-06-17",10,1.62,2,"1",73,0.986301369863014,-0.2125,"-","+","-","Ineffective",27.9,3.40258375010225
"186_3","186","88",16.2,31.8,"2019-06-19",33,1.312903,3,"1",75,3.09427880741338,32.4875,"-","+","-","Ineffective",67.4,6.76404999851606
"186_4","186","360",8.5,13.7,"2019-06-19",24,0.77619,4,"1",75,1.43110394842869,6.6875,"-","+","-","Ineffective",35.1,2.40056592259933
"186_5","186","220",1.9,3.2,"2019-06-14",3,1.7,5,"2",64,0.328767123287671,-10.4125,"-","+","-","Ineffective",8,0.953817027769876
"186_6","186","25",6.4,14.7,"2019-05-31",22,2.1,6,"2",50,1.36019339242546,5.5875,"-","+","-","Ineffective",40.6,3.72517273379415
"186_7","186","268",22.2,47,"2019-06-18",50,1.293617,7,"2",68,4.46091861402095,53.6875,"-","+","-","Ineffective",109.8,11.6381741866039
"186_8","186","191",4.7,11.5,"2019-06-17",7,0.6,8,"2",67,1.04431909750201,0.687499999999998,"-","+","-","Ineffective",8.4,0.367636672334579
"186_9","186","219",5.7,10.8,"2019-06-17",12,1.075,9,"2",67,1.06365834004835,0.987499999999999,"-","+","-","Ineffective",25.2,2.58468686412429
"187_1","187","92",4,4,"2019-06-17",23,0.234783,1,"1",73,0.515713134568896,-7.5125,"-","-","+","Ineffective",20.7,-0.040728963756487
"187_10","187","194",3,3.6,"2019-06-14",21,0.08,10,"2",64,0.425463336019339,-8.9125,"-","-","+","Ineffective",13.2,-1.06870394821135
