,file,id_a,id_b,count_a,count_b
0,289_2_4_8_5_S277,2,4,0,16
1,308_186_131_10_7_S296,186,131,130,15530
2,628_2_184_2_4_S603,2,184,0,3314
3,1103_2_187_6_5_S1054,2,187,0,0
4,810_2_200_6_3_S777,2,200,2,0
5,915_4_187_7_9_S878,4,187,9,0
6,519_2_156_4_2_S498,2,156,1,8
7,242_186_4_8_5_S234,186,4,0,13888
8,1097_186_131_9_6_S1048,186,131,1,162
9,34_4_156_10_4_S34,4,156,31,459
10,657_187_156_9_4_S632,187,156,0,6
11,45_4_156_8_2_S45,4,156,796,13
12,994_186_200_3_5_S952,186,200,8,0
13,204_131_187_4_6_S196,131,187,6,0
14,813_2_200_6_6_S780,2,200,8,0
15,1171_2_186_8_4_S1117,2,186,0,3
16,736_186_187_10_2_S707,186,187,4,4
17,263_186_4_8_7_S255,186,4,0,9644
18,499_4_184_5_1_S478,4,184,4,0
19,3_4_156_9_1_S3,4,156,5,9
20,19_4_156_1_8_S19,4,156,5,40
21,884_2_200_5_1_S847,2,200,1966,0
22,109_2_156_5_2_S105,2,156,0,6610
23,919_187_156_5_4_S882,187,156,0,0
24,363_2_200_10_6_S351,2,200,3597,2
25,445_156_184_8_2_S428,156,184,2,0
26,346_187_156_6_4_S334,187,156,34,4047
27,439_184_200_10_6_S422,184,200,13,0
28,541_186_4_9_6_S520,186,4,0,11
29,753_131_184_5_2_S724,131,184,11201,2
30,854_186_156_5_2_S821,186,156,0,2324
31,932_2_187_3_3_S895,2,187,0,1
32,249_156_184_7_2_S241,156,184,0,0
33,513_2_156_9_3_S492,2,156,0,2
34,73_4_156_3_7_S73,4,156,5,29
35,200_131_187_4_4_S192,131,187,0,0
36,86_2_4_10_1_S86,2,4,0,199
37,870_187_156_10_6_S833,187,156,6,14759
38,322_2_200_10_9_S310,2,200,11723,0
39,211_131_200_2_10_S203,131,200,18,0
40,975_4_187_3_1_S933,4,187,6277,1
41,738_186_187_10_4_S709,186,187,16257,13
42,603_4_131_6_5_S578,4,131,26,14502
43,855_186_156_5_3_S822,186,156,258,6596
44,500_4_184_5_2_S479,4,184,3,0
45,1058_2_131_2_2_S1009,2,131,0,9
46,935_2_187_3_6_S898,2,187,0,5
47,173_186_184_4_4_S169,186,184,0,4
48,61_4_156_8_3_S61,4,156,11,15
49,1007_186_131_4_7_S965,186,131,2,5
50,464_156_184_8_6_S447,156,184,2,1
51,1109_186_4_5_3_S1060,186,4,0,7
52,647_186_187_7_6_S622,186,187,75,8
53,452_187_200_9_4_S435,187,200,2,0
54,545_2_184_4_2_S524,2,184,1,6
55,896_4_184_6_4_S859,4,184,8,0
56,222_4_184_1_9_S214,4,184,412,737
57,786_4_187_6_4_S753,4,187,7,0
